dcterms:identifier,osgeo:termID,rdf:type,rdf:type,rdfs:label,osgeo:abbreviation,skos:prefLabel @en,skos:altLabel @en,skos:definition @en,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo:example @en,osgeo:example @en,osgeo:hasSource,osgeo:hasSource,osgeo:clause,osgeo:hasInfo,osgeo:hasReview,osgeo:hasLDAPI,osgeo:jsonURI,osgeo:hasLDAPI,osgeo:jsonldURI,osgeo:hasLDAPI,osgeo:rdfxmlURI,osgeo:hasLDAPI,osgeo:rdfxmlURI2,skos:inScheme,osgeo:hasOrigin @anyURI,osgeo:hasOrigin,osgeo:classification,skos:notation
250,osgeo-concept:c250,skos:Concept,owl:NamedIndividual,National Science Foundation,NSF,National Science Foundation,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info250,osgeo-review:Review250,ldapi250-json,https://osgeo.geolexica.org/api/ldapi/250.json,ldapi250-jsonld,https://osgeo.geolexica.org/api/ldapi/250.jsonld,ldapi250-rdfxml,https://osgeo.geolexica.org/api/ldapi/250.rdf,ldapi250-skosrdf,https://osgeo.geolexica.org/api/ldapi/250.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,250
251,osgeo-concept:c251,skos:Concept,owl:NamedIndividual,National Spatial Data Infrastructure,NSDI,National Spatial Data Infrastructure,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info251,osgeo-review:Review251,ldapi251-json,https://osgeo.geolexica.org/api/ldapi/251.json,ldapi251-jsonld,https://osgeo.geolexica.org/api/ldapi/251.jsonld,ldapi251-rdfxml,https://osgeo.geolexica.org/api/ldapi/251.rdf,ldapi251-skosrdf,https://osgeo.geolexica.org/api/ldapi/251.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,251
252,osgeo-concept:c252,skos:Concept,owl:NamedIndividual,Natural Resources and Environment,NRE,Natural Resources and Environment,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info252,osgeo-review:Review252,ldapi252-json,https://osgeo.geolexica.org/api/ldapi/252.json,ldapi252-jsonld,https://osgeo.geolexica.org/api/ldapi/252.jsonld,ldapi252-rdfxml,https://osgeo.geolexica.org/api/ldapi/252.rdf,ldapi252-skosrdf,https://osgeo.geolexica.org/api/ldapi/252.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,252
253,osgeo-concept:c253,skos:Concept,owl:NamedIndividual,Net Centric Operations Infrastructure Committee,NCOIC,Net Centric Operations Infrastructure Committee,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info253,osgeo-review:Review253,ldapi253-json,https://osgeo.geolexica.org/api/ldapi/253.json,ldapi253-jsonld,https://osgeo.geolexica.org/api/ldapi/253.jsonld,ldapi253-rdfxml,https://osgeo.geolexica.org/api/ldapi/253.rdf,ldapi253-skosrdf,https://osgeo.geolexica.org/api/ldapi/253.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,253
254,osgeo-concept:c254,skos:Concept,owl:NamedIndividual,Network Common Data Form,NetCDF,Network Common Data Form,,"set of software libraries and machine-independent data formats that support the creation, access, and sharing of array-oriented scientific data",,,,,,https://www.unidata.ucar.edu/software/netcdf/,,,osgeo-info:Info254,osgeo-review:Review254,ldapi254-json,https://osgeo.geolexica.org/api/ldapi/254.json,ldapi254-jsonld,https://osgeo.geolexica.org/api/ldapi/254.jsonld,ldapi254-rdfxml,https://osgeo.geolexica.org/api/ldapi/254.rdf,ldapi254-skosrdf,https://osgeo.geolexica.org/api/ldapi/254.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,254
255,osgeo-concept:c255,skos:Concept,owl:NamedIndividual,Neutral Transfer Format,NTF,Neutral Transfer Format,,Definition not provided in this language.,Note to entry:  Within the UK,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info255,osgeo-review:Review255,ldapi255-json,https://osgeo.geolexica.org/api/ldapi/255.json,ldapi255-jsonld,https://osgeo.geolexica.org/api/ldapi/255.jsonld,ldapi255-rdfxml,https://osgeo.geolexica.org/api/ldapi/255.rdf,ldapi255-skosrdf,https://osgeo.geolexica.org/api/ldapi/255.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,255
256,osgeo-concept:c256,skos:Concept,owl:NamedIndividual,NEw Partnership for African Development,NEPAD,NEw Partnership for African Development,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info256,osgeo-review:Review256,ldapi256-json,https://osgeo.geolexica.org/api/ldapi/256.json,ldapi256-jsonld,https://osgeo.geolexica.org/api/ldapi/256.jsonld,ldapi256-rdfxml,https://osgeo.geolexica.org/api/ldapi/256.rdf,ldapi256-skosrdf,https://osgeo.geolexica.org/api/ldapi/256.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,256
257,osgeo-concept:c257,skos:Concept,owl:NamedIndividual,nomenclator service,,nomenclator service,,locates a geographic location by its name,"Note to entry:  If one or more occurrences of a location are detected, the service provides a list of the detected locations with additional attributes. The user can then choose the desired location as per their requirement.",,,,,,,,osgeo-info:Info257,osgeo-review:Review257,ldapi257-json,https://osgeo.geolexica.org/api/ldapi/257.json,ldapi257-jsonld,https://osgeo.geolexica.org/api/ldapi/257.jsonld,ldapi257-rdfxml,https://osgeo.geolexica.org/api/ldapi/257.rdf,ldapi257-skosrdf,https://osgeo.geolexica.org/api/ldapi/257.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,257
258,osgeo-concept:c258,skos:Concept,owl:NamedIndividual,Non-Governmental Organization,NGO,Non-Governmental Organization,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info258,osgeo-review:Review258,ldapi258-json,https://osgeo.geolexica.org/api/ldapi/258.json,ldapi258-jsonld,https://osgeo.geolexica.org/api/ldapi/258.jsonld,ldapi258-rdfxml,https://osgeo.geolexica.org/api/ldapi/258.rdf,ldapi258-skosrdf,https://osgeo.geolexica.org/api/ldapi/258.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,258
259,osgeo-concept:c259,skos:Concept,owl:NamedIndividual,North American Datum,NAD,North American Datum,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info259,osgeo-review:Review259,ldapi259-json,https://osgeo.geolexica.org/api/ldapi/259.json,ldapi259-jsonld,https://osgeo.geolexica.org/api/ldapi/259.jsonld,ldapi259-rdfxml,https://osgeo.geolexica.org/api/ldapi/259.rdf,ldapi259-skosrdf,https://osgeo.geolexica.org/api/ldapi/259.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,259
260,osgeo-concept:c260,skos:Concept,owl:NamedIndividual,Object Linking and Embedding/Common Object Model (Microsoft),OLE/COM,Object Linking and Embedding/Common Object Model (Microsoft),,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info260,osgeo-review:Review260,ldapi260-json,https://osgeo.geolexica.org/api/ldapi/260.json,ldapi260-jsonld,https://osgeo.geolexica.org/api/ldapi/260.jsonld,ldapi260-rdfxml,https://osgeo.geolexica.org/api/ldapi/260.rdf,ldapi260-skosrdf,https://osgeo.geolexica.org/api/ldapi/260.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,260
261,osgeo-concept:c261,skos:Concept,owl:NamedIndividual,Object Management Group,OMG,Object Management Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info261,osgeo-review:Review261,ldapi261-json,https://osgeo.geolexica.org/api/ldapi/261.json,ldapi261-jsonld,https://osgeo.geolexica.org/api/ldapi/261.jsonld,ldapi261-rdfxml,https://osgeo.geolexica.org/api/ldapi/261.rdf,ldapi261-skosrdf,https://osgeo.geolexica.org/api/ldapi/261.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,261
262,osgeo-concept:c262,skos:Concept,owl:NamedIndividual,Object Oriented,OO,Object Oriented,,"computer programming model that organizes software design around data, or objects, rather than functions and logic",Note to entry:  Here an object can be defined as a data field that has unique attributes and behavior.,,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,,osgeo-info:Info262,osgeo-review:Review262,ldapi262-json,https://osgeo.geolexica.org/api/ldapi/262.json,ldapi262-jsonld,https://osgeo.geolexica.org/api/ldapi/262.jsonld,ldapi262-rdfxml,https://osgeo.geolexica.org/api/ldapi/262.rdf,ldapi262-skosrdf,https://osgeo.geolexica.org/api/ldapi/262.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,262
263,osgeo-concept:c263,skos:Concept,owl:NamedIndividual,Observations and Measurements,OM,Observations and Measurements,,OGC standard which defines an abstract model for sensor based data,,,,,,https://mapserver.org/glossary.html,,,osgeo-info:Info263,osgeo-review:Review263,ldapi263-json,https://osgeo.geolexica.org/api/ldapi/263.json,ldapi263-jsonld,https://osgeo.geolexica.org/api/ldapi/263.jsonld,ldapi263-rdfxml,https://osgeo.geolexica.org/api/ldapi/263.rdf,ldapi263-skosrdf,https://osgeo.geolexica.org/api/ldapi/263.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,263
264,osgeo-concept:c264,skos:Concept,owl:NamedIndividual,Office of Spatial Data Management,OSDM,Office of Spatial Data Management,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info264,osgeo-review:Review264,ldapi264-json,https://osgeo.geolexica.org/api/ldapi/264.json,ldapi264-jsonld,https://osgeo.geolexica.org/api/ldapi/264.jsonld,ldapi264-rdfxml,https://osgeo.geolexica.org/api/ldapi/264.rdf,ldapi264-skosrdf,https://osgeo.geolexica.org/api/ldapi/264.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,264
265,osgeo-concept:c265,skos:Concept,owl:NamedIndividual,OGC Architecture Board,OAB,OGC Architecture Board,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info265,osgeo-review:Review265,ldapi265-json,https://osgeo.geolexica.org/api/ldapi/265.json,ldapi265-jsonld,https://osgeo.geolexica.org/api/ldapi/265.jsonld,ldapi265-rdfxml,https://osgeo.geolexica.org/api/ldapi/265.rdf,ldapi265-skosrdf,https://osgeo.geolexica.org/api/ldapi/265.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,265
266,osgeo-concept:c266,skos:Concept,owl:NamedIndividual,OGC Australasia,OGC-A,OGC Australasia,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info266,osgeo-review:Review266,ldapi266-json,https://osgeo.geolexica.org/api/ldapi/266.json,ldapi266-jsonld,https://osgeo.geolexica.org/api/ldapi/266.jsonld,ldapi266-rdfxml,https://osgeo.geolexica.org/api/ldapi/266.rdf,ldapi266-skosrdf,https://osgeo.geolexica.org/api/ldapi/266.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,266
267,osgeo-concept:c267,skos:Concept,owl:NamedIndividual,OGC Catalog Domain Working Group,Cat DWG,OGC Catalog Domain Working Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info267,osgeo-review:Review267,ldapi267-json,https://osgeo.geolexica.org/api/ldapi/267.json,ldapi267-jsonld,https://osgeo.geolexica.org/api/ldapi/267.jsonld,ldapi267-rdfxml,https://osgeo.geolexica.org/api/ldapi/267.rdf,ldapi267-skosrdf,https://osgeo.geolexica.org/api/ldapi/267.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,267
268,osgeo-concept:c268,skos:Concept,owl:NamedIndividual,OGC Catalog Revision Standards Working Group,Cat SWG,OGC Catalog Revision Standards Working Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info268,osgeo-review:Review268,ldapi268-json,https://osgeo.geolexica.org/api/ldapi/268.json,ldapi268-jsonld,https://osgeo.geolexica.org/api/ldapi/268.jsonld,ldapi268-rdfxml,https://osgeo.geolexica.org/api/ldapi/268.rdf,ldapi268-skosrdf,https://osgeo.geolexica.org/api/ldapi/268.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,268
269,osgeo-concept:c269,skos:Concept,owl:NamedIndividual,OGC Catalogue Service Interface Standard,CS,OGC Catalogue Service Interface Standard,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info269,osgeo-review:Review269,ldapi269-json,https://osgeo.geolexica.org/api/ldapi/269.json,ldapi269-jsonld,https://osgeo.geolexica.org/api/ldapi/269.jsonld,ldapi269-rdfxml,https://osgeo.geolexica.org/api/ldapi/269.rdf,ldapi269-skosrdf,https://osgeo.geolexica.org/api/ldapi/269.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,269
270,osgeo-concept:c270,skos:Concept,owl:NamedIndividual,OGC City Geography Markup Language (CityGML) Encoding Standard,CityGML,OGC City Geography Markup Language (CityGML) Encoding Standard,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info270,osgeo-review:Review270,ldapi270-json,https://osgeo.geolexica.org/api/ldapi/270.json,ldapi270-jsonld,https://osgeo.geolexica.org/api/ldapi/270.jsonld,ldapi270-rdfxml,https://osgeo.geolexica.org/api/ldapi/270.rdf,ldapi270-skosrdf,https://osgeo.geolexica.org/api/ldapi/270.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,270
271,osgeo-concept:c271,skos:Concept,owl:NamedIndividual,OGC Compliance and Interoperability Testing Initiative,CITE,OGC Compliance and Interoperability Testing Initiative,,OGC Compliance Testing Program,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info271,osgeo-review:Review271,ldapi271-json,https://osgeo.geolexica.org/api/ldapi/271.json,ldapi271-jsonld,https://osgeo.geolexica.org/api/ldapi/271.jsonld,ldapi271-rdfxml,https://osgeo.geolexica.org/api/ldapi/271.rdf,ldapi271-skosrdf,https://osgeo.geolexica.org/api/ldapi/271.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,271
272,osgeo-concept:c272,skos:Concept,owl:NamedIndividual,OGC Coordinate Transformation Encoding Standard,CT,OGC Coordinate Transformation Encoding Standard,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info272,osgeo-review:Review272,ldapi272-json,https://osgeo.geolexica.org/api/ldapi/272.json,ldapi272-jsonld,https://osgeo.geolexica.org/api/ldapi/272.jsonld,ldapi272-rdfxml,https://osgeo.geolexica.org/api/ldapi/272.rdf,ldapi272-skosrdf,https://osgeo.geolexica.org/api/ldapi/272.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,272
273,osgeo-concept:c273,skos:Concept,owl:NamedIndividual,OGC Coordinate Transformation Standards Working Group,CT SWG,OGC Coordinate Transformation Standards Working Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info273,osgeo-review:Review273,ldapi273-json,https://osgeo.geolexica.org/api/ldapi/273.json,ldapi273-jsonld,https://osgeo.geolexica.org/api/ldapi/273.jsonld,ldapi273-rdfxml,https://osgeo.geolexica.org/api/ldapi/273.rdf,ldapi273-skosrdf,https://osgeo.geolexica.org/api/ldapi/273.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,273
274,osgeo-concept:c274,skos:Concept,owl:NamedIndividual,OGC Critical Infrastructure Protection Initiative,CIPI,OGC Critical Infrastructure Protection Initiative,,2002 OGC Interoperability Initiative focused on critical infrastructure protection,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info274,osgeo-review:Review274,ldapi274-json,https://osgeo.geolexica.org/api/ldapi/274.json,ldapi274-jsonld,https://osgeo.geolexica.org/api/ldapi/274.jsonld,ldapi274-rdfxml,https://osgeo.geolexica.org/api/ldapi/274.rdf,ldapi274-skosrdf,https://osgeo.geolexica.org/api/ldapi/274.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,274
275,osgeo-concept:c275,skos:Concept,owl:NamedIndividual,OGC ebXML RegRep SWG,,OGC ebXML RegRep SWG,,OGC Standards Working Group developing an an extension to the OASIS ebXML RegRep standard,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info275,osgeo-review:Review275,ldapi275-json,https://osgeo.geolexica.org/api/ldapi/275.json,ldapi275-jsonld,https://osgeo.geolexica.org/api/ldapi/275.jsonld,ldapi275-rdfxml,https://osgeo.geolexica.org/api/ldapi/275.rdf,ldapi275-skosrdf,https://osgeo.geolexica.org/api/ldapi/275.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,275
276,osgeo-concept:c276,skos:Concept,owl:NamedIndividual,OGC EC08 Pilot,,OGC EC08 Pilot,,OGC Empire Challenge 08 Pilot Project,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info276,osgeo-review:Review276,ldapi276-json,https://osgeo.geolexica.org/api/ldapi/276.json,ldapi276-jsonld,https://osgeo.geolexica.org/api/ldapi/276.jsonld,ldapi276-rdfxml,https://osgeo.geolexica.org/api/ldapi/276.rdf,ldapi276-skosrdf,https://osgeo.geolexica.org/api/ldapi/276.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,276
277,osgeo-concept:c277,skos:Concept,owl:NamedIndividual,OGC Europe,OGC-E,OGC Europe,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info277,osgeo-review:Review277,ldapi277-json,https://osgeo.geolexica.org/api/ldapi/277.json,ldapi277-jsonld,https://osgeo.geolexica.org/api/ldapi/277.jsonld,ldapi277-rdfxml,https://osgeo.geolexica.org/api/ldapi/277.rdf,ldapi277-skosrdf,https://osgeo.geolexica.org/api/ldapi/277.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,277
278,osgeo-concept:c278,skos:Concept,owl:NamedIndividual,OGC Filter Encoding Standard,FE or FES,OGC Filter Encoding Standard,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info278,osgeo-review:Review278,ldapi278-json,https://osgeo.geolexica.org/api/ldapi/278.json,ldapi278-jsonld,https://osgeo.geolexica.org/api/ldapi/278.jsonld,ldapi278-rdfxml,https://osgeo.geolexica.org/api/ldapi/278.rdf,ldapi278-skosrdf,https://osgeo.geolexica.org/api/ldapi/278.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,278
279,osgeo-concept:c279,skos:Concept,owl:NamedIndividual,OGC GeoAPI Interface Standard,GeoAPI,OGC GeoAPI Interface Standard,,Java API that provides a set programming interfaces for geospatial applications developed by OGC,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info279,osgeo-review:Review279,ldapi279-json,https://osgeo.geolexica.org/api/ldapi/279.json,ldapi279-jsonld,https://osgeo.geolexica.org/api/ldapi/279.jsonld,ldapi279-rdfxml,https://osgeo.geolexica.org/api/ldapi/279.rdf,ldapi279-skosrdf,https://osgeo.geolexica.org/api/ldapi/279.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,279
280,osgeo-concept:c280,skos:Concept,owl:NamedIndividual,OGC Geography Markup Language Encoding Standard,GML,OGC Geography Markup Language Encoding Standard,,OGC standard which defines an abstract model for geographic features,,,,,,https://mapserver.org/glossary.html,,,osgeo-info:Info280,osgeo-review:Review280,ldapi280-json,https://osgeo.geolexica.org/api/ldapi/280.json,ldapi280-jsonld,https://osgeo.geolexica.org/api/ldapi/280.jsonld,ldapi280-rdfxml,https://osgeo.geolexica.org/api/ldapi/280.rdf,ldapi280-skosrdf,https://osgeo.geolexica.org/api/ldapi/280.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,280
281,osgeo-concept:c281,skos:Concept,owl:NamedIndividual,OGC Georeferenced Table Joining Service Encoding Standard,TJS,OGC Georeferenced Table Joining Service Encoding Standard,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info281,osgeo-review:Review281,ldapi281-json,https://osgeo.geolexica.org/api/ldapi/281.json,ldapi281-jsonld,https://osgeo.geolexica.org/api/ldapi/281.jsonld,ldapi281-rdfxml,https://osgeo.geolexica.org/api/ldapi/281.rdf,ldapi281-skosrdf,https://osgeo.geolexica.org/api/ldapi/281.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,281
282,osgeo-concept:c282,skos:Concept,owl:NamedIndividual,OGC Geospatial eXtensible Access Control Markup Language Standard,GeoXACML,OGC Geospatial eXtensible Access Control Markup Language Standard,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info282,osgeo-review:Review282,ldapi282-json,https://osgeo.geolexica.org/api/ldapi/282.json,ldapi282-jsonld,https://osgeo.geolexica.org/api/ldapi/282.jsonld,ldapi282-rdfxml,https://osgeo.geolexica.org/api/ldapi/282.rdf,ldapi282-skosrdf,https://osgeo.geolexica.org/api/ldapi/282.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,282
283,osgeo-concept:c283,skos:Concept,owl:NamedIndividual,OGC Geosync SWG,,OGC Geosync SWG,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info283,osgeo-review:Review283,ldapi283-json,https://osgeo.geolexica.org/api/ldapi/283.json,ldapi283-jsonld,https://osgeo.geolexica.org/api/ldapi/283.jsonld,ldapi283-rdfxml,https://osgeo.geolexica.org/api/ldapi/283.rdf,ldapi283-skosrdf,https://osgeo.geolexica.org/api/ldapi/283.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,283
284,osgeo-concept:c284,skos:Concept,owl:NamedIndividual,OGC GMLJP2 1.1 SWG,,OGC GMLJP2 1.1 SWG,,OGC GML in JPEG 2000 Standards Working Group,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info284,osgeo-review:Review284,ldapi284-json,https://osgeo.geolexica.org/api/ldapi/284.json,ldapi284-jsonld,https://osgeo.geolexica.org/api/ldapi/284.jsonld,ldapi284-rdfxml,https://osgeo.geolexica.org/api/ldapi/284.rdf,ldapi284-skosrdf,https://osgeo.geolexica.org/api/ldapi/284.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,284
285,osgeo-concept:c285,skos:Concept,owl:NamedIndividual,OGC Iberian and Latin-American Forum,ILAF,OGC Iberian and Latin-American Forum,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info285,osgeo-review:Review285,ldapi285-json,https://osgeo.geolexica.org/api/ldapi/285.json,ldapi285-jsonld,https://osgeo.geolexica.org/api/ldapi/285.jsonld,ldapi285-rdfxml,https://osgeo.geolexica.org/api/ldapi/285.rdf,ldapi285-skosrdf,https://osgeo.geolexica.org/api/ldapi/285.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,285
286,osgeo-concept:c286,skos:Concept,owl:NamedIndividual,OGC Location Services,OLS,OGC Location Services,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info286,osgeo-review:Review286,ldapi286-json,https://osgeo.geolexica.org/api/ldapi/286.json,ldapi286-jsonld,https://osgeo.geolexica.org/api/ldapi/286.jsonld,ldapi286-rdfxml,https://osgeo.geolexica.org/api/ldapi/286.rdf,ldapi286-skosrdf,https://osgeo.geolexica.org/api/ldapi/286.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,286
287,osgeo-concept:c287,skos:Concept,owl:NamedIndividual,OGC Marketing & Communications Program,MCP,OGC Marketing & Communications Program,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info287,osgeo-review:Review287,ldapi287-json,https://osgeo.geolexica.org/api/ldapi/287.json,ldapi287-jsonld,https://osgeo.geolexica.org/api/ldapi/287.jsonld,ldapi287-rdfxml,https://osgeo.geolexica.org/api/ldapi/287.rdf,ldapi287-skosrdf,https://osgeo.geolexica.org/api/ldapi/287.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,287
288,osgeo-concept:c288,skos:Concept,owl:NamedIndividual,OGC Met Ocean DWG,,OGC Met Ocean DWG,,Meteorology & Oceanography Domain Working Group,Note to entry:  the group exists in the Open Geospatial Consortium (OGC),,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info288,osgeo-review:Review288,ldapi288-json,https://osgeo.geolexica.org/api/ldapi/288.json,ldapi288-jsonld,https://osgeo.geolexica.org/api/ldapi/288.jsonld,ldapi288-rdfxml,https://osgeo.geolexica.org/api/ldapi/288.rdf,ldapi288-skosrdf,https://osgeo.geolexica.org/api/ldapi/288.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,288
